"","vars","n","mean","sd","min","max","range","se"
"lr_se_math_bayes_black",64,16128,0.016143735311819,0.00445931448137957,0.009275521979806,0.0258413864501658,0.0165658644703598,3.51138009986884e-05
"achiev_se_ela_bayes_black",65,28918,0.0443267357408318,0.0236051595790464,0.0144741728438566,0.12976501043565,0.115290837591793,0.000138810658372976
"lr_se_ela_bayes_black",66,13161,0.0128598701695021,0.00255294610696621,0.0088270649717576,0.0198622901515991,0.0110352251798415,2.22534424258465e-05
"achiev_all_ols_black",67,29173,-0.357407639256541,0.272868430255215,-1.48615487605901,0.865017186485361,2.35117206254437,0.00159758048376804
"lr_all_ols_black",68,18760,-0.00709779127188305,0.04220547124323,-0.18336014970613,0.136769529966995,0.320129679673126,0.000308143021481583
"achiev_se_all_ols_black",69,29173,0.0401189109694741,0.0297601824462783,0.0108006087050539,0.227831815226172,0.217031206521118,0.000174238868985621
"lr_se_all_ols_black",70,18760,0.015497296771473,0.00593853573525816,0.0074005731190601,0.0282551929707733,0.0208546198517132,4.33573726518297e-05
"achiev_all_bayes_black",71,29173,-0.358424990814784,0.263317648032272,-1.45179453868448,0.786988996794657,2.23878353547913,0.00154166290008193
"lr_all_bayes_black",72,18760,-0.00690275404462451,0.0370903632719314,-0.158506849560608,0.113791781457522,0.272298631018131,0.000270797512023889
"achiev_se_all_bayes_black",73,29173,0.0366956255851616,0.0222468607034563,0.0107922933343192,0.124641912032523,0.113849618698203,0.000130250137224398
"lr_se_all_bayes_black",74,18760,0.0143390687676793,0.0048340702705427,0.0073035509187017,0.0240468653216245,0.0167433144029228,3.52936473718027e-05
"achiev_math_ols_ecd",75,54723,-0.243666821353486,0.260530898199568,-2.92743168279077,0.841584403821029,3.7690160866118,0.00111371556094343
"lr_math_ols_ecd",76,45098,-0.00357273819989178,0.053802632580573,-0.263924688741148,0.239212149977125,0.503136838718273,0.000253352319797347
"achiev_ela_ols_ecd",77,54723,-0.244268116089809,0.243450784904027,-1.82218169042407,0.733745425861252,2.55592711628532,0.0010407016186764
"lr_ela_ols_ecd",78,38515,0.000250957715996442,0.0424229275580972,-0.188267547796071,0.181058446949728,0.369325994745799,0.000216165152831587
"achiev_se_math_ols_ecd",79,54723,0.037198464246853,0.0246725333728913,0.0159431425000385,0.237157813521743,0.221214671021704,0.000105469963582733
"lr_se_math_ols_ecd",80,45098,0.0194585289202694,0.00597011323717309,0.0109295403734662,0.0342574813220471,0.0233279409485809,2.8112788641439e-05
"achiev_se_ela_ols_ecd",81,54723,0.0364224647348587,0.0244570220958309,0.0159347279320865,0.225050198723408,0.209115470791322,0.000104548697565997
"lr_se_ela_ols_ecd",82,38515,0.0169344424592107,0.00407044219089235,0.0108942950674846,0.0260708577038558,0.0151765626363712,2.07408542722894e-05
