"leaid","ave_students_susp_in_sch","ave_students_susp_out_sch_single","ave_students_susp_out_sch_multiple","ave_students_arrested","ave_expulsions_no_ed_serv_white","ave_expulsions_no_ed_serv_black","ave_expulsions_no_ed_serv_hispanic","ave_expulsions_with_ed_serv_white","ave_expulsions_with_ed_serv_black","ave_expulsions_with_ed_serv_hispanic","ave_expulsions_zero_tolerance_white","ave_expulsions_zero_tolerance_black","ave_expulsions_zero_tolerance_hispanic","ave_percentage_students_susp_in_sch_white","ave_percentage_students_susp_in_sch_black","ave_percentage_students_susp_in_sch_hispanic"
1100026,0,8.16666666666667,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1100029,1.44444444444444,3.44444444444444,4.38888888888889,0,0,0,0,0,0,0,0,0,0,NA,0.0101721433333333,NA
1100030,1.61967694566814,7.62101449275362,5.56666666666667,0.457831325301205,0,0,0,0,0.0154185022026432,0.013215859030837,0,0.00217391304347826,0.00434782608695652,2.68671112334802e-05,0.000187259249735683,8.05868837004405e-05
1100031,9.01333333333333,8.34,8.53333333333333,0.0133333333333333,0,0.88,0,0,0.98,0,0,0.36,0,0.0025,0.007713911322,0.00221729487804878
1100032,1.5,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.068181825,0.04761905
1100034,20.1666666666667,18.0833333333333,8.25,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
1100035,6.93939393939394,6.96969696969697,2.81818181818182,0,0,0.727272727272727,0.363636363636364,0,0,0,0,0,0,0.0117268272727273,0.0287123878181818,0.0276407432727273
1100039,26.4761904761905,7.80952380952381,19.7142857142857,0,0,0.428571428571429,0.285714285714286,0,3.14285714285714,0.285714285714286,0,0,0,0.666666666666667,0.121719544285714,0.107923105714286
1100042,1.66666666666667,2.58333333333333,1.58333333333333,0,0,0,0,0,0,0,0,0,0,0,0.08229814,0.014982605
1100043,3.6969696969697,8.90909090909091,6,0.121212121212121,0,0.909090909090909,0.181818181818182,0,0.545454545454545,0,0,0.272727272727273,0.181818181818182,0.00245700272727273,0.0181693662727273,0.00938474818181818
1100044,7.53333333333333,5.73333333333333,6.53333333333333,0,0,0,0,0,0,0,0,0,0,NA,0.0625908978,0.054545458
1100045,3.38095238095238,5,2,0,0,0.571428571428571,0,0,0,0,0,0,0,0.00134770885714286,0.0232624378571429,0.00595238142857143
1100048,0,7.875,9.41666666666667,0,0,0.5625,0,0,0,0,0,0.125,0,0,0,0
1100049,0.583333333333333,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.01040655375,0
1100051,0.75,1.29166666666667,2.08333333333333,0,0,0,0,0,0,0,0,0,0,NA,0.0044258555,0
1100053,3.5,8.83333333333333,6,0,0,0,0,0,0,0,0,0,0,0,0.02943827375,0
1100054,0,0.80952380952381,1.14285714285714,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1100055,4.41666666666667,0.666666666666667,0.583333333333333,0,0,0,0,0,0,0,0,0,0,0.025,0.2180751,0.029761905
1100057,0.866666666666667,1.8,0.6,0,0,0,0,0,0,0,0,0,0,NA,0.039444444,NA
1100058,3.77777777777778,9.66666666666667,5.44444444444444,0,0,1.33333333333333,0,0,0.666666666666667,0,0,1.33333333333333,0,NA,0.0215041033333333,0
1100060,1.16666666666667,9.16666666666667,10.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0.009615385,0
1100064,1.08333333333333,0.833333333333333,1.08333333333333,0,0,0,0,0,1,0,0,0,0,0,0.0260802175,0
1100066,11.3333333333333,12.3333333333333,12.3333333333333,0,0,2,0,0,0,0,0,2,0,NA,0.34,NA
1100072,7.14285714285714,9.04761904761905,3.9047619047619,0,0,0.714285714285714,0,0,1.42857142857143,0,0,0.142857142857143,0,NA,0.0280456971428571,0
1100073,3.51388888888889,5.16666666666667,2.94444444444444,0,0,0.708333333333333,0,0,0.541666666666667,0.166666666666667,0,0.166666666666667,0,0,0.006878856125,0.004093187375
1100076,13.5555555555556,13.7777777777778,7.11111111111111,0,0,0.666666666666667,0,0,0.666666666666667,0,0,0,0,NA,0.0858075733333333,0
1100077,2.33333333333333,2.91666666666667,0.916666666666667,0,0,0,0,0,0,0,0,0,0,0.0176185815,0.0230765675,0.110714275
1100079,19.4444444444444,10.8888888888889,11.4444444444444,0,0,7.66666666666667,0,0,2,0,0,2.66666666666667,0,NA,Inf,NA
1100087,5.33333333333333,2.41666666666667,2.16666666666667,0,0,0,0,0,0,0,0,0,0,NA,1.6,NA
1200002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200030,0.430894308943089,6.35349462365591,8.39247311827957,0.016260162601626,0.032258064516129,0.0241935483870968,0,0.0040650406504065,0.016260162601626,0,0,0,0,3.72423784552846e-05,9.07161926829268e-05,4.9409325203252e-05
1200060,49.1358024691358,9.34567901234568,11.1481481481481,0.0246913580246914,0.62962962962963,0.296296296296296,0,0.814814814814815,0.333333333333333,0,0.444444444444444,0,0,0.029253211462963,0.0603722874074074,0.0373340748148148
